song_name,artist_name,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,song_popularity
Boulevard of Broken Dreams,Green Day,262333,0.00552,0.496,0.682,2.94E-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474,73
In The End,Linkin Park,216933,0.0103,0.542,0.853,0,3,0.108,-6.407,0,0.0498,105.256,4,0.37,66
Seven Nation Army,The White Stripes,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.828,1,0.0792,123.881,4,0.324,76
By The Way,Red Hot Chili Peppers,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198,74
How You Remind Me,Nickelback,223826,0.000954,0.447,0.766,0,10,0.113,-5.065,1,0.0313,172.011,4,0.574,56
Bring Me To Life,Evanescence,235893,0.00895,0.316,0.945,1.85E-06,4,0.396,-3.169,0,0.124,189.931,4,0.32,80
Last Resort,Papa Roach,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.724,81
Are You Gonna Be My Girl,Jet,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,76
Mr. Brightside,The Killers,222586,0.00108,0.33,0.936,0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,80
Sex on Fire,Kings of Leon,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374,81
The Middle,Jimmy Eat World,168253,0.0424,0.629,0.897,0,2,0.263,-3.401,1,0.0483,161.944,4,0.93,78
Numb,Linkin Park,185586,0.0046,0.496,0.863,0,9,0.639,-4.153,1,0.0381,110.018,4,0.243,63
Smooth Criminal,Alien Ant Farm,209266,0.00434,0.647,0.964,0.0036,9,0.15,-4.225,0,0.06,126.942,4,0.875,75
Can't Stop,Red Hot Chili Peppers,269000,0.0179,0.618,0.938,0,9,0.167,-3.442,1,0.0456,91.455,4,0.875,81
Chop Suey!,System Of A Down,210240,0.000353,0.42,0.929,0.000747,7,0.122,-3.899,0,0.121,127.204,4,0.3,69
Take Me Out,Franz Ferdinand,237026,0.000423,0.278,0.676,0.000899,9,0.136,-8.821,1,0.0371,104.545,4,0.494,77
I Miss You,blink-182,227240,0.00136,0.659,0.778,6.79E-06,11,0.0841,-6.423,1,0.0379,110.022,4,0.623,71
Best of You,Foo Fighters,256600,0.00701,0.37,0.944,2.90E-06,1,0.135,-4.979,0,0.0767,130.315,4,0.345,62
I Write Sins Not Tragedies,Panic! At The Disco,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635,77
Kryptonite,3 Doors Down,233933,0.00664,0.545,0.865,1.12E-05,11,0.168,-5.708,0,0.0286,99.01,4,0.543,79
The Kill (Bury Me),Thirty Seconds To Mars,231533,0.0014,0.309,0.912,0.000271,4,0.582,-3.881,0,0.0646,183.035,3,0.302,69
Use Somebody,Kings of Leon,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,79
No One Knows,Queens of the Stone Age,255066,0.0137,0.518,0.538,0.000398,0,0.141,-5.818,1,0.0486,170.953,4,0.687,13
Jerk It Out,Caesars,195666,0.0171,0.58,0.981,1.07E-05,8,0.386,-2.603,0,0.06,134.007,4,0.861,62
Uprising,Muse,304840,0.000202,0.602,0.905,0.064,2,0.117,-4.046,1,0.0775,128.019,4,0.411,77
Hey There Delilah,Plain White T's,232533,0.872,0.657,0.291,0,2,0.114,-10.572,1,0.0293,103.973,4,0.298,79
Blurry,Puddle Of Mudd,303920,0.0102,0.44,0.932,0,3,0.142,-4.488,0,0.0584,157.438,4,0.495,28
American Idiot,Green Day,176346,2.64E-05,0.38,0.988,7.86E-05,1,0.368,-2.042,1,0.0639,186.113,4,0.769,78
Welcome to the Black Parade,My Chemical Romance,311106,0.000289,0.217,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236,77
Gives You Hell,The All-American Rejects,213106,0.0156,0.714,0.725,0,4,0.0726,-6.411,1,0.0402,99.988,4,0.59,71
All My Life,Foo Fighters,262733,0.000194,0.582,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674,11
Like a Stone,Audioslave,293960,0.00797,0.614,0.568,0,7,0.0997,-5.477,0,0.0276,107.849,4,0.516,77
It's Been Awhile,Staind,264706,0.00189,0.509,0.774,0.000549,6,0.143,-4.054,1,0.0338,116.529,4,0.0824,65
I Hate Everything About You,Three Days Grace,231480,0.00461,0.498,0.83,0,6,0.139,-5.157,0,0.0421,89.342,4,0.453,75
Rollin' (Air Raid Vehicle),Limp Bizkit,213760,0.00506,0.599,0.932,0,9,0.269,-3.328,1,0.18,96.234,4,0.692,74
Fat Lip,Sum 41,178266,0.000618,0.574,0.911,0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573,74
The Pretender,Foo Fighters,269373,0.000917,0.433,0.959,0,9,0.028,-4.04,1,0.0431,172.984,4,0.365,11
Savior,Rise Against,242280,0.00164,0.549,0.93,6.67E-05,5,0.39,-3.468,0,0.0487,112.447,4,0.526,73
Bodies,Drowning Pool,201960,0.00347,0.656,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,4,0.544,74
"Sugar, We're Goin Down",Fall Out Boy,229093,0.00898,0.499,0.824,0,7,0.163,-4.741,1,0.0794,161.977,4,0.699,79
Last Nite,The Strokes,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797,70
Through Glass,Stone Sour,282946,0.0417,0.545,0.753,0,3,0.389,-4.618,0,0.036,105.754,4,0.434,60
The Diary of Jane - Single Version,Breaking Benjamin,200546,5.53E-05,0.374,0.961,0.0834,10,0.138,-4.421,0,0.0851,167.032,4,0.357,69
Down With the Sickness,Disturbed,279213,0.000996,0.695,0.876,6.89E-06,3,0.106,-4.262,0,0.0553,89.954,4,0.941,73
Wish You Were Here,Incubus,212733,0.000631,0.246,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35,62
Youth Of The Nation,P.O.D.,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.533,1,0.0621,97.867,4,0.517,72
Vertigo,U2,194520,0.000153,0.391,0.831,0.00192,2,0.141,-3.892,1,0.0613,139.946,4,0.683,57
Miss Murder,AFI,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725,71
I Bet You Look Good On The Dancefloor,Arctic Monkeys,173680,0.00225,0.535,0.948,0,6,0.376,-4.19,0,0.0356,103.183,4,0.778,63
"Steady, As She Goes",The Raconteurs,215266,0.0132,0.524,0.578,0.00921,9,0.108,-4.563,1,0.12,123.669,4,0.537,64
Falling Away from Me,Korn,270920,0.00014,0.468,0.769,0.00124,4,0.271,-7.036,1,0.041,104.102,4,0.17,71
